studentid                ,TIME    ,DATE
62b090b4f85687167b22f77d,10:03:30,28/06/2022
62b091ecf85687167b22f783,10:03:30,28/06/2022
62b09367f85687167b22f78c,10:03:30,28/06/2022
62b093e42bb77b52e39460c7,10:03:30,28/06/2022
